,,,,,,,,,,,,,,,,,,,dealer,,,,,,,,,,,,,,
ACCOUNTING_TRANS_ID,TRANS_DATE,LOAN_ID,CORE_LOAN_ID,TRANS_TYPE,TRANS_DESC,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,CAMPAIGN_CODE,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
979,11DEC2020:00:00:00,2012102301,100235645,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,1159091,1159091,C,LMSS,LMSS11122020,RECEIVE SUBVENTION,,970-000,FASTCD,24,NK,,,,,,,FTCDPREZO2,99,baont,14DEC2020:15:34:27,,,,
981,14DEC2020:00:00:00,2012142448,100235681,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,4774070000,122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPREZO6,99,baont,15DEC2020:09:19:32,,,,
982,14DEC2020:00:00:00,2012142494,100235693,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,4774070000,122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,FTCDPREZO6,99,baont,15DEC2020:09:19:32,,,,
983,14DEC2020:00:00:00,2012142448,100235681,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,3393010000,122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPREZO6,99,baont,15DEC2020:09:19:32,,,,
984,14DEC2020:00:00:00,2012142494,100235693,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,3393010000,122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,FTCDPREZO6,99,baont,15DEC2020:09:19:32,,,,
985,14DEC2020:00:00:00,2012142448,100235681,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,1423004000,122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPREZO6,99,baont,15DEC2020:09:19:32,,,,
986,14DEC2020:00:00:00,2012142494,100235693,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,1423004000,122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,FTCDPREZO6,99,baont,15DEC2020:09:19:32,,,,
987,14DEC2020:00:00:00,2012142448,100235681,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,4774080000,122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPREZO6,99,baont,15DEC2020:09:19:32,,,,
988,14DEC2020:00:00:00,2012142494,100235693,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,4774080000,122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,9,FITIN1,,,,,,,FTCDPREZO6,99,baont,15DEC2020:09:19:32,,,,
989,14DEC2020:00:00:00,2012142500,100235685,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,4172727,4172727,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
990,14DEC2020:00:00:00,2012142498,100235691,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,1159091,1159091,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,baont,15DEC2020:09:19:32,,,,
991,14DEC2020:00:00:00,2012142454,100235683,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,4172727,4172727,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
992,14DEC2020:00:00:00,2012142500,100235685,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,417273,417273,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
993,14DEC2020:00:00:00,2012142498,100235691,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,115909,115909,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,baont,15DEC2020:09:19:32,,,,
994,14DEC2020:00:00:00,2012142454,100235683,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,417273,417273,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
995,14DEC2020:00:00:00,2012142500,100235685,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,4590000,4590000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,61,VTL,,,,,,,FTCDPRESUB5,99,baont,15DEC2020:09:19:32,,,,
996,14DEC2020:00:00:00,2012142498,100235691,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,1275000,1275000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPREZO2,99,baont,15DEC2020:09:19:32,,,,
