MPI_CUST_ID,MPI_LEGACY_ID,MPI_APP_REF_NO,MPI_CON_ID,MPI_PROJ_ID,REC_ST,MPI_LOAN_TYPE,MPI_CRDT_SCH_CD,MPI_PROD_CD,MPI_SPRD_CD,MPI_MAT_DT,MPI_CLS_DT,MPI_EMI,MPI_PREV_STAT,MPI_DQ_STAT_CD,MPI_REPMT_TNR,MPI_DPD,MPI_DISB_DT,MPI_PROJ_COST,MPI_CRLT,MPI_LOAN_VALUE,MPI_ORG_PROJ_COST,MPI_NET_INT_RT,MPI_CITY_CD,MPI_ORG_POS_CD,MPI_CR_SHIELD_FLAG,MPI_CR_SHIELD_PREM_AMT,BRANCH_CODE,CREATE_DATE,LAST_UPDATE_DATE,TRANS_DATE
0001493499,100235117,2011180001671818,002,0001,C,R,SFNFIX,SFNFIX,FASTCD,16FEB2023:00:00:00,09DEC2020:00:00:00,783456,REGLR,REGLR,25,0,20NOV2020:00:00:00,17000000,17000000,17000000,17000000,10.0000,900,900,Y,17000000,6,14DEC2020:13:51:33,,
0001493551,100235287,2011180001671865,002,0001,C,R,SFNFIX,SFNFIX,NP2WZO,01JUN2022:00:00:00,09DEC2020:00:00:00,2941176,REGLR,REGLR,18,0,28NOV2020:00:00:00,50000000,50000000,50000000,50000000,0.0000,900,900,N,0,23,14DEC2020:13:51:33,,
0001494049,100235531,2012080001673228,002,0001,C,R,SFNFIX,SFNFIX,FTCDZO,10NOV2021:00:00:00,14DEC2020:00:00:00,395833,TB0,REGLR,12,0,09DEC2020:00:00:00,4750000,4750000,4750000,4750000,0.0000,900,900,N,0,2,15DEC2020:09:13:23,,14DEC2020:00:00:00
0001494051,100235533,2012080001673229,002,0001,C,R,SFNFIX,SFNFIX,FTCDZO,10NOV2021:00:00:00,14DEC2020:00:00:00,262500,TB0,REGLR,12,0,09DEC2020:00:00:00,3150000,3150000,3150000,3150000,0.0000,900,900,N,0,23,15DEC2020:09:13:23,,14DEC2020:00:00:00
0001494098,100235649,2012110001673285,002,0001,C,R,SFNFIX,SFNFIX,FASTCD,16NOV2021:00:00:00,14DEC2020:00:00:00,890500,REGLR,REGLR,12,0,11DEC2020:00:00:00,10200000,10200000,10200000,10200000,10.0000,900,900,N,0,25,15DEC2020:09:13:23,,14DEC2020:00:00:00
0001494124,100235659,2012140001673318,002,0001,C,R,SFNFIX,SFNFIX,FASTCD,16NOV2021:00:00:00,14DEC2020:00:00:00,915272,REGLR,REGLR,12,0,14DEC2020:00:00:00,8840000,8840000,8840000,8840000,50.0000,900,900,N,0,57,15DEC2020:09:13:23,,14DEC2020:00:00:00
